600000.SS	2015-07-09	15.95	16.95	2015-07-22	16.33	16.16
600004.SS	2015-07-09	11.35	12.39	2015-07-22	14.59	14.59
600005.SS	2015-07-09	4.18	4.63	2015-07-22	5.01	5.22
600006.SS	2015-07-09	6.58	7.694	2015-07-22	9.30	10.239
600007.SS	2015-07-09	10.67	11.86	2015-07-22	13.66	13.68
600008.SS	2015-07-09	7.79	8.57	2015-07-22	11.44	11.68
600009.SS	2015-07-09	24.01	26.41	2015-07-22	29.78	29.61
600010.SS	2015-07-09	4.55	5.01	2015-07-22	5.10	5.06
600011.SS	2015-07-09	10.05	10.715	2015-07-22	10.79	11.12
600012.SS	2015-07-09	8.49	10.17	2015-07-22	13.25	12.65
600015.SS	2015-07-09	12.63	13.23	2015-07-22	12.71	12.58
600016.SS	2015-07-09	10.19	10.59	2015-07-22	9.57	9.55
600017.SS	2015-07-09	5.32	5.93	2015-07-22	8.50	8.41
600018.SS	2015-07-09	7.56	8.35	2015-07-22	8.16	8.14
600019.SS	2015-07-09	6.75	7.43	2015-07-22	7.33	7.38
600020.SS	2015-07-09	4.21	5.10	2015-07-22	7.09	6.64
600021.SS	2015-07-09	15.59	16.94446	2015-07-22	20.30	21.21
600022.SS	2015-07-09	2.97	3.63	2015-07-22	4.29	4.31
600023.SS	2015-07-09	7.16	7.88	2015-07-22	8.83	8.93
600026.SS	2015-07-09	7.18	8.47	2015-07-22	9.78	10.20
600027.SS	2015-07-09	6.00	7.07	2015-07-22	8.20	8.67
600028.SS	2015-07-09	6.40	7.14	2015-07-22	7.00	6.99
600029.SS	2015-07-09	7.95	9.71	2015-07-22	13.40	13.20
600030.SS	2015-07-09	23.43	25.77	2015-07-22	24.21	24.01
600031.SS	2015-07-09	6.03	6.63	2015-07-22	8.05	8.20
600033.SS	2015-07-09	3.50	4.0425	2015-07-22	5.57	5.34
600035.SS	2015-07-09	4.26	5.20	2015-07-22	7.21	7.21
600036.SS	2015-07-09	17.50	19.00	2015-07-22	17.91	17.85
600037.SS	2015-07-09	19.36	21.30	2015-07-22	30.00	31.36
600038.SS	2015-07-09	34.38	42.02	2015-07-22	61.00	66.47
600039.SS	2015-07-09	4.70	5.12	2015-07-22	6.32	6.30
