[u'25,983,071,655',	u'349,152,980,691',	u'3,220,636',	u'141,193,577',	u'877,395,639',	u'350,030,376,330']
[u'26,460,495,533',	u'348,862,246,310',	u'3,861,672',	u'139,705,445',	u'871,789,392',	u'349,734,035,702']
[u'31,598,565,535',	u'348,373,107,279',	u'2,121,641',	u'136,335,618',	u'876,978,020',	u'349,250,085,299']
[u'27,085,902,018',	u'348,283,136,964',	u'2,113,112',	u'140,131,825',	u'881,665,269',	u'349,164,802,233']
[u'22,042,698,276',	u'347,284,755,690',	u'3,041,200',	u'141,813,513',	u'871,121,963',	u'348,155,877,653']
[u'31,393,490,127', u'347,868,983,179', u'16,092,559', u'152,926,768', u'899,877,756', u'348,768,860,935']
[u'25,129,563,898', u'347,000,896,835', u'19,328,003', u'154,196,794', u'904,946,243', u'347,905,843,078']
[u'18,181,415,448', u'345,606,919,457', u'18,472,073', u'152,447,942', u'845,000,006', u'346,451,919,463']
[u'23,069,430,487', u'353,518,510,882', u'20,300,294', u'150,955,801', u'876,609,403', u'354,395,120,285']
[u'21,424,035,917', u'362,993,260,509', u'20,292,656', u'148,720,818', u'925,756,756', u'363,919,017,265']
[u'25,666,974,012', u'364,309,103,755', u'16,686,214', u'147,119,791', u'941,747,016', u'365,250,850,771']
[u'38,607,572,767', u'364,974,955,542', u'30,765,443', u'155,644,246', u'996,789,544', u'365,971,745,086']
[u'22,594,119,361', u'359,632,889,283', u'13,914,999', u'135,702,877', u'907,893,807', u'360,540,783,090']
[u'28,367,062,154', u'359,544,041,278', u'5,730,107', u'138,176,013', u'873,462,157', u'360,417,503,435']
[u'20,665,732,705', u'352,887,786,561', u'4,936,897', u'141,345,271', u'889,861,777', u'353,777,648,338']
[u'21,003,546,587', u'369,385,950,822', u'6,315,489', u'143,823,025', u'921,316,059', u'370,307,266,881']
[u'27,111,521,606', u'382,832,812,309', u'6,951,820', u'143,297,873', u'927,621,583', u'383,760,433,892']
[u'34,472,692,157', u'389,119,575,750', u'8,946,787', u'142,275,400', u'935,667,614', u'390,055,243,364']
[u'26,508,724,141', u'389,523,776,632', u'10,187,822', u'142,450,999', u'901,224,016', u'390,425,000,648']
[u'30,565,114,990', u'401,301,348,852', u'17,367,728', u'143,021,354', u'874,289,506', u'402,175,638,358']
[u'20,081,701,114', u'419,653,124,847', u'10,213,456', u'136,618,771', u'859,764,730', u'420,512,889,577']
[u'19,920,856,527', u'449,543,942,965', u'10,473,108', u'141,105,632', u'934,923,484', u'450,478,866,449']
[u'32,367,673,587', u'475,023,987,344', u'15,008,228', u'145,246,304', u'1,080,805,032', u'476,104,792,376']
[u'39,502,051,987', u'484,584,219,079', u'31,735,799', u'162,615,934', u'1,163,145,932', u'485,747,365,011']
[u'45,349,832,025', u'486,440,616,365', u'16,109,091', u'141,146,342', u'1,109,871,209', u'487,550,487,574']
[u'58,970,585,163', u'488,823,492,890', u'13,660,962', u'139,440,162', u'1,094,765,773', u'489,918,258,663']
[u'52,161,225,982', u'494,723,065,282', u'35,783,677', u'138,732,262', u'1,078,366,750', u'495,801,432,032']
[u'51,053,086,391', u'488,766,646,815', u'1,204,481', u'106,302,528', u'895,942,766', u'489,662,589,581']
[u'43,735,207,631', u'486,695,514,736', u'1,571,500', u'107,186,090', u'903,864,538', u'487,599,379,274']
[u'42,136,857,991', u'481,886,311,617', u'810,900', u'108,653,651', u'897,773,324', u'482,784,084,941']
[u'55,588,142,308', u'481,040,889,023', u'1,856,400', u'111,523,948', u'925,535,339', u'481,966,424,362']
[u'52,704,540,514', u'475,981,646,428', u'1,191,900', u'115,487,244', u'951,636,002', u'476,933,282,430']
[u'36,723,775,989', u'468,603,376,994', u'1,410,500', u'121,109,158', u'951,763,628', u'469,555,140,622']
[u'26,900,258,682', u'465,555,351,702', u'1,619,600', u'125,981,284', u'957,821,954', u'466,513,173,656']
[u'38,285,992,283', u'466,810,514,866', u'1,398,208', u'128,981,526', u'987,589,681', u'467,798,104,547']
[u'39,427,026,777', u'467,269,519,933', u'5,529,842', u'131,326,368', u'1,025,030,861', u'468,294,550,794']
[u'24,653,238,452', u'461,334,491,176', u'88,481,048', u'136,285,888', u'988,706,319', u'462,323,197,495']
[u'28,500,813,107', u'475,446,028,932', u'164,324,543', u'139,057,556', u'1,008,473,556', u'476,454,502,488']
[u'44,962,762,796', u'486,249,919,886', u'204,341,485', u'139,970,844', u'1,007,357,911', u'487,257,277,797']
[u'40,350,428,447', u'487,438,624,110', u'180,194,248', u'135,926,756', u'1,019,504,082', u'488,458,128,192']
[u'43,301,800,582', u'491,838,698,549', u'201,445,510', u'129,527,120', u'952,151,347', u'492,790,849,896']
[u'56,645,261,825', u'507,551,673,784', u'200,074,668', u'141,507,561', u'1,005,867,563', u'508,557,541,347']
[u'66,398,135,946', u'513,599,336,968', u'181,174,800', u'143,431,074', u'1,120,970,976', u'514,720,307,944']
[u'61,035,857,013', u'514,057,673,710', u'167,605,400', u'137,303,845', u'1,131,303,311', u'515,188,977,021']
[u'54,725,753,237', u'507,535,705,730', u'127,384,621', u'140,326,562', u'1,112,220,421', u'508,647,926,151']
[u'49,099,274,153', u'504,055,215,370', u'130,410,016', u'133,435,324', u'1,080,466,093', u'505,135,681,463']
[u'57,497,327,280', u'502,482,065,141', u'112,232,060', u'117,320,535', u'992,711,582', u'503,474,776,723']
